os,dtime,ip,local,gaid,adsid,reqid,up_price,correct_price,pkg_name,bid_id,bid_imp_id
0,2023-08-14 03:25:38,177.223.5.49,BR,7a5b7752-781e-48fb-9323-6c97223a75a3,106815995,fa57bba7-4c38-4e44-ac40-4c053368cc70,18.0008,18.0008,com.higgs.tilemaster3d,4782692285651367453,1
0,2023-08-14 15:31:10,138.59.188.73,BR,e325ec22-7713-48a9-907f-cc54cae69780,106815995,fa570d94-c38b-42cf-9e4f-dcc45a035f17,1.4792,1.4792,com.caixapop.marketh,4782739014894496252,1
0,2023-08-14 15:31:08,138.59.188.73,BR,e325ec22-7713-48a9-907f-cc54cae69780,106815995,fa570d94-c38b-42cf-9e4f-dcc45a035f17,0.524,0.524,com.fderioh.cxnb,4782739014894496252,10
0,2023-08-14 15:31:09,138.59.188.73,BR,e325ec22-7713-48a9-907f-cc54cae69780,106815995,fa570d94-c38b-42cf-9e4f-dcc45a035f17,0.5464,0.5464,xxx.fzmkxlihmg.qbrm,4782739014894496252,4
0,2023-08-14 14:56:42,191.187.132.3,BR,1ae491f8-c909-44c5-a892-4fa3d2954a49,106815995,fa50c5a0-e7cc-45ed-8a23-512896b0fa2d,5.9304,5.9304,com.mehenslot.shhjadadw,4782736752517336855,2
0,2023-08-14 23:07:59,177.71.84.34,BR,482a78ca-6ad0-4406-a023-628d69b0675f,106815995,fa4b8a17-02a1-4f68-be68-28b847713091,5.3456,5.3456,com.oweif.afk34alf.coalfew,4782768465488470541,4
0,2023-08-14 01:32:23,45.164.83.168,BR,cee324b6-d966-456f-af77-c90b9e7a1b6d,106815995,fa455dd6-8bc4-497b-b39c-7f9630598aad,0.548,0.548,com.bingo.ocean.free.slots.lucky,4782684974542288792,3
0,2023-08-14 08:10:09,177.85.251.237,BR,f5f2bf1f-7c89-481e-b547-41b37dd68026,106815995,fa45416c-d033-49b1-8f87-83cbaa1c0dce,0.5304,0.5304,com.slotghn.teadvture,4782710613346421221,1
0,2023-08-14 10:26:39,177.44.139.187,BR,52d90b9b-9698-4d0d-85d5-bbabbce1d6bf,106815995,fa3ab913-01a0-4efb-835f-8ea9bb718c76,0.844,0.844,com.space.domain.board,4782719334280625249,2
0,2023-08-14 00:56:25,177.221.47.1,BR,d764ab43-8778-4961-82b7-ccb68b76ffcd,106815995,fa3834b8-9c57-4950-8d1c-1376d5d14ad1,2.8576,2.8576,vip.debatedapr1927.officials.select,4782682642375017163,3
0,2023-08-14 20:56:06,138.0.247.20,BR,66be0a59-18d0-4f3a-8920-1480a2ace8d0,106815995,fa368e44-2274-4341-b1c5-c22c6223d87d,1.328,1.328,org.handofmidas.com,4782759956084561512,6
